study_var,question_text,group_name,sort_order,question_type,section,condtion,section_sort,charttype,multi_lable
B1_PostCode,B1. Can you please tell your age in complete years?,B1_PostCode,1,SR,Demographics and Household Characteristics,All,1,Pie,
B5,B5.What is your highest level of education?,B5,2,SR,Demographics and Household Characteristics,All,1,Modern Donut,
C11,C11. What is your current living arrangement?,C11,3,SR,Demographics and Household Characteristics,All,1,Pie,
C1,C1. Which of this best describes your current work situation?,C1,4,SR,Economic Status,All,2,Modern Donut,
C5,C5. How would you describe your job?,C5,5,SR,Economic Status,All,2,Modern Donut,
C6,C6. What is your monthly income?,C6,6,SR,Economic Status,All,2,Pie,
C8_1,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Build financial stability
C8_2,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Save for future security
C8_3,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Invest in education or skills development
C8_4,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Comprehensive Healthcare
C8_5,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Start or expand a personal business
C8_6,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Purchase a home or another major asset
C8_7,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Repay debts / loans
C8_8,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Plan for retirement / long-term financial independence
C8_9,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Other
C8_99,C8. What are your financial goals for the next five years?,C8,7,MR,Economic Status,All,2,Bar,Don't Know
D2_1,D2. Accessed (Calculate from overall base),D2,8,MR,Access to Financial Products,All,3,Bar,Savings Bank Account
D2_2,D2. Accessed (Calculate from overall base),D2,8,MR,Access to Financial Products,All,3,Bar,Fixed Deposit
D2_3,D2. Accessed (Calculate from overall base),D2,8,MR,Access to Financial Products,All,3,Bar,Recurring Deposit
D2_4,D2. Accessed (Calculate from overall base),D2,8,MR,Access to Financial Products,All,3,Bar,Personal Loans
D2_5,D2. Accessed (Calculate from overall base),D2,8,MR,Access to Financial Products,All,3,Bar,Home Loans
D2_6,D2. Accessed (Calculate from overall base),D2,8,MR,Access to Financial Products,All,3,Bar,Education Loans
