_id,Variable,Value,Label,Question,__v
69087be4a2e822d1272d40ce,SbjNum,,,SbjNum,0
6908795475810a88df152275,Category,1,Lesbian,Please indicate the category of respondent,0
6908795475810a88df152276,Category,2,Gay,Please indicate the category of respondent,0
6908795475810a88df152277,Category,3,Bisexual,Please indicate the category of respondent,0
6908795475810a88df152278,Category,4,Trangender,Please indicate the category of respondent,0
6908795475810a88df152279,Category,5,Intersex,Please indicate the category of respondent,0
6908795475810a88df15227a,City,1,Bhubaneshwar,City,0
6908795475810a88df15227b,City,2,Kolkata,City,0
6908795475810a88df15227c,City,3,Patna,City,0
6908795475810a88df15227d,City,4,Raipur,City,0
6908795475810a88df15227e,City,5,Bhopal,City,0
6908795475810a88df15227f,City,6,Chandigarh,City,0
6908795475810a88df152280,City,7,Varanasi,City,0
6908795475810a88df152281,City,8,Lucknow,City,0
6908795475810a88df152282,City,9,Delhi,City,0
6908795475810a88df152283,City,10,Imphal,City,0
6908795475810a88df152284,City,11,Guwahati,City,0
6908795475810a88df152285,City,12,Bangalore,City,0
6908795475810a88df152286,City,13,Chennai,City,0
6908795475810a88df152287,City,14,Hyderabad,City,0
6908795475810a88df152288,City,15,Ahmedabad,City,0
6908795475810a88df152289,City,16,Mumbai,City,0
6908795475810a88df15228a,City,17,Goa,City,0
6908795475810a88df15228b,City,18,Pune,City,0
6908795475810a88df15228c,Zone,1,East,Zone,0
6908795475810a88df15228d,Zone,2,North,Zone,0
6908795475810a88df15228e,Zone,3,North-East,Zone,0
6908795475810a88df15228f,Zone,4,South,Zone,0
6908795475810a88df152290,Zone,5,West,Zone,0
6908795475810a88df152291,Q4,1,Urban,Can you please confirm if the area that you currently reside in is (READ OUT THE OPTIONS),0
6908795475810a88df152292,Q4,2,Rural,Can you please confirm if the area that you currently reside in is (READ OUT THE OPTIONS),0
6908795475810a88df152293,Q4,3,Semi-urban,Can you please confirm if the area that you currently reside in is (READ OUT THE OPTIONS),0
6908795475810a88df152294,A1,1,"Yes, only to family and friends",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df152295,A1,2,"Yes, only to peers",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df152296,A1,3,"Yes, only at workplace",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df152297,A1,4,"Yes, in all spheres",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df152298,A1,5,Any other response- specify,A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df152299,Q_11_S,1,"Yes, only to family and friends",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df15229a,Q_11_S,2,"Yes, only to peers",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df15229b,Q_11_S,3,"Yes, only at workplace",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df15229c,Q_11_S,4,"Yes, in all spheres",A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df15229d,Q_11_S,5,Any other response- specify,A1. Are you open about your sexuality and gender identity to (READ OUT)?,0
6908795475810a88df15229e,A2,1,Yes,A2. Do you have any questions?,0
6908795475810a88df15229f,A2,2,No,A2. Do you have any questions?,0
6908795475810a88df1522a0,A3,1,Yes,"A3. With your permission, can we proceed?",0
6908795475810a88df1522a1,A3,2,No,"A3. With your permission, can we proceed?",0
6908795475810a88df1522a2,A4,1,Yes,"A4. For quality purpose and check, as a routine procedure we record some part of the interview , do you consent to audio record this interview? ",0
6908795475810a88df1522a3,A4,2,No,"A4. For quality purpose and check, as a routine procedure we record some part of the interview , do you consent to audio record this interview? ",0
6908795475810a88df1522a4,A5,1,Yes,A5. Do you have a chosen name?,0
6908795475810a88df1522a5,A5,2,No,A5. Do you have a chosen name?,0
6908795475810a88df1522a6,A5,3,Prefer not to answer,A5. Do you have a chosen name?,0
6908795475810a88df1522a7,B1_PostCode,1,Less than 20 years,POST CODE,0
6908795475810a88df1522a8,B1_PostCode,2,21 - 24 Years,POST CODE,0
6908795475810a88df1522a9,B1_PostCode,3,25 - 35 Years,POST CODE,0
6908795475810a88df1522aa,B1_PostCode,4,36 - 45 Years,POST CODE,0
6908795475810a88df1522ab,B1_PostCode,5,45 - 60 Years,POST CODE,0
6908795475810a88df1522ac,B1_PostCode,6,More than 60 years,POST CODE,0
6908795475810a88df1522ad,B2,1,Man,B2. How would you describe your gender identity?,0
6908795475810a88df1522ae,B2,2,Woman,B2. How would you describe your gender identity?,0
6908795475810a88df1522af,B2,3,Transgender,B2. How would you describe your gender identity?,0
6908795475810a88df1522b0,B2,4,Other (Please Specify),B2. How would you describe your gender identity?,0
6908795475810a88df1522b1,B2,5,I am not sure,B2. How would you describe your gender identity?,0
6908795475810a88df1522b2,Q_21_S,1,Man,B2. How would you describe your gender identity?,0
6908795475810a88df1522b3,Q_21_S,2,Woman,B2. How would you describe your gender identity?,0
6908795475810a88df1522b4,Q_21_S,3,Transgender,B2. How would you describe your gender identity?,0
6908795475810a88df1522b5,Q_21_S,4,Other (Please Specify),B2. How would you describe your gender identity?,0
6908795475810a88df1522b6,Q_21_S,5,I am not sure,B2. How would you describe your gender identity?,0
6908795475810a88df1522b7,B3,1,Heterosexual or straight,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522b8,B3,2,Lesbian,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522b9,B3,3,Gay,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522ba,B3,4,Bisexual,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522bb,B3,5,Other (Please Specify),B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522bc,B3,6,I am not sure,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522bd,Q_22_S,1,Heterosexual or straight,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522be,Q_22_S,2,Lesbian,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522bf,Q_22_S,3,Gay,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522c0,Q_22_S,4,Bisexual,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522c1,Q_22_S,5,Other (Please Specify),B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522c2,Q_22_S,6,I am not sure,B3.  Which of the following best describes your sexual orientation?,0
6908795475810a88df1522c3,B4,1,Female,B4. Which of the following best describes the sex you were assigned at birth?,0
6908795475810a88df1522c4,B4,2,Male,B4. Which of the following best describes the sex you were assigned at birth?,0
6908795475810a88df1522c5,B4,3,Intersex,B4. Which of the following best describes the sex you were assigned at birth?,0
6908795475810a88df1522c6,B5,1,No education,B5. What is your highest level of education?,0
6908795475810a88df1522c7,B5,2,Literate but no formal schooling,B5. What is your highest level of education?,0
6908795475810a88df1522c8,B5,3,Up to Primary (class 1 to 5),B5. What is your highest level of education?,0
6908795475810a88df1522c9,B5,4,Up to class 8,B5. What is your highest level of education?,0
6908795475810a88df1522ca,B5,5,Below Secondary (class 10),B5. What is your highest level of education?,0
6908795475810a88df1522cb,B5,6,Secondary (class 10) completed,B5. What is your highest level of education?,0
6908795475810a88df1522cc,B5,7,Higher Secondary incomplete,B5. What is your highest level of education?,0
6908795475810a88df1522cd,B5,8,Higher Secondary (class 12) completed,B5. What is your highest level of education?,0
6908795475810a88df1522ce,B5,9,Diploma/Vocational/ITI,B5. What is your highest level of education?,0
6908795475810a88df1522cf,B5,10,Graduate,B5. What is your highest level of education?,0
6908795475810a88df1522d0,B5,11,Postgraduate or above,B5. What is your highest level of education?,0
6908795475810a88df1522d1,B5,12,"Professional degree- Doctor, Lawyer",B5. What is your highest level of education?,0
6908795475810a88df1522d2,B5,13,Don’t know,B5. What is your highest level of education?,0
6908795475810a88df1522d3,B5,14,Prefer not to say,B5. What is your highest level of education?,0
6908795475810a88df1522d4,T_B6_1,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522d5,T_B6_1,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522d6,T_B6_1,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522d7,T_B6_2,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522d8,T_B6_2,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522d9,T_B6_2,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522da,T_B6_3,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522db,T_B6_3,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522dc,T_B6_3,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522dd,T_B6_4,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522de,T_B6_4,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522df,T_B6_4,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e0,T_B6_5,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e1,T_B6_5,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e2,T_B6_5,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e3,T_B6_6,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e4,T_B6_6,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e5,T_B6_6,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e6,TS_B6_6,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e7,TS_B6_6,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e8,TS_B6_6,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522e9,T_B6_7,1,"Yes, I have in my birth name",B6. Which of the following documents do you possess?,0
6908795475810a88df1522ea,T_B6_7,2,"No, I applied in my chosen name but did not receive",B6. Which of the following documents do you possess?,0
6908795475810a88df1522eb,T_B6_7,3,"No, I did not apply for this document in my chosen name ",B6. Which of the following documents do you possess?,0
6908795475810a88df1522ec,C1,1,Salaried employment (Work for Someone else) , C1. Are you currently employed?,0
6908795475810a88df1522ed,C1,2,Self-employed (Work for Yourself) not business, C1. Are you currently employed?,0
6908795475810a88df1522ee,C1,3,"Own a business, alone or with someone else", C1. Are you currently employed?,0
6908795475810a88df1522ef,C1,4,Apprentice, C1. Are you currently employed?,0
6908795475810a88df1522f0,C1,5,Not working, C1. Are you currently employed?,0
6908795475810a88df1522f1,C2,1,Looking after the home,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f2,C2,2,Looking for work (unemployed),"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f3,C2,3,Retired,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f4,C2,4,Unable to work due to sickness or ill-health,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f5,C2,5,Not working and not looking for work,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f6,C2,6,Student,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f7,C2,7,Other Specify ……,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f8,C2,8,Refused ,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522f9,Q_30_S,1,Looking after the home,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522fa,Q_30_S,2,Looking for work (unemployed),"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522fb,Q_30_S,3,Retired,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522fc,Q_30_S,4,Unable to work due to sickness or ill-health,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522fd,Q_30_S,5,Not working and not looking for work,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522fe,Q_30_S,6,Student,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df1522ff,Q_30_S,7,Other Specify ……,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df152300,Q_30_S,8,Refused ,"C2. If not working, which of this best describes your current situation?",0
6908795475810a88df152301,C3,1,Public Sector (Government) ,C3. Where do you work?,0
6908795475810a88df152302,C3,2,Private Sector ,C3. Where do you work?,0
6908795475810a88df152303,C3,3,Non-government organisation,C3. Where do you work?,0
6908795475810a88df152304,C3,4,Skilled work on my own,C3. Where do you work?,0
6908795475810a88df152305,C3,5,Unskilled work as and when comes my way,C3. Where do you work?,0
6908795475810a88df152306,C3,6,"Employer’s household (private households employing maid servant, watchman, cook, etc.)",C3. Where do you work?,0
6908795475810a88df152307,C3,7,Any other Specify,C3. Where do you work?,0
6908795475810a88df152308,Q_31_S,1,Public Sector (Government) ,C3. Where do you work?,0
6908795475810a88df152309,Q_31_S,2,Private Sector ,C3. Where do you work?,0
6908795475810a88df15230a,Q_31_S,3,Non-government organisation,C3. Where do you work?,0
6908795475810a88df15230b,Q_31_S,4,Skilled work on my own,C3. Where do you work?,0
6908795475810a88df15230c,Q_31_S,5,Unskilled work as and when comes my way,C3. Where do you work?,0
6908795475810a88df15230d,Q_31_S,6,"Employer’s household (private households employing maid servant, watchman, cook, etc.)",C3. Where do you work?,0
6908795475810a88df15230e,Q_31_S,7,Any other Specify,C3. Where do you work?,0
6908795475810a88df15230f,C4,1,Less than 1 lakh,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152310,C4,2,1 lakh to less than 3 lakh,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152311,C4,3,3 to less than 5 lakhs,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
6908795475810a88df152312,C4,4,5 lakhs- 10 lakhs,C4. What is your annual income? Consider only self income not HH or with partner/ other family members,0
